tanglish,tamil
railway sdhadhion eppo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
widhu veelai mudinjaadhu,வீட்டு வேலை முடிஞ்சது.
saari yapprram paarrkalam,சரி அப்புறம் பார்க்கலாம்.
railway sdadion yepo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
captheeon nala irugu,கேப்ஷன் நல்லா இருக்கு.
trenting weedeo yatu,டிரெண்டிங் வீடியோ அது.
wedu velaee moodinjadhoo,வீட்டு வேலை முடிஞ்சது.
soollege eebbo moodiyoom,கல்லூரி எப்போ முடியும்?
rraailwaay sdhadhioon epoo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veetzha yellarrum yeptee irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
threndeeng witeoo adhu,டிரெண்டிங் வீடியோ அது.
appa yepoo varraanga,அப்பா எப்போ வர்றாங்க?
thaani venum,தண்ணி வேணும்.
poos sthand yenka irrookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
epti eerrukeenga,எப்படி இருக்கீங்க?
veethla ellarrum yepdee irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
yooffice poidhoo vareen,அலுவலகம் போயிட்டு வர்றேன்.
rraeelway sdhadhion yeppo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
cabteeon nala irugu,கேப்ஷன் நல்லா இருக்கு.
yebdee eerukeenka,எப்படி இருக்கீங்க?
vethla yellarrum yepdi iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
pus stant yeenga irruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
vedhla ezhzharoom yepdee eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
bus staant yeenga irookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
railway sdhadhioon eepo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veethla yellaarrum yepdi irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
yexam sema thooogh,தேர்வு செம கடினம்.
nambeekaee dhaan elaam,நம்பிக்கை தான் எல்லாம்.
veedu veezhai moodinjadhoo,வீட்டு வேலை முடிஞ்சது.
soozhren nalla keduko,சொல்றேன் நல்லா கேட்டுக்கோ.
rraailwaay sdadioon yeppo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
widhu wezhai mootinjatoo,வீட்டு வேலை முடிஞ்சது.
bus staand yeenka eerugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
slass yeepo arambam,வகுப்பு எப்போ ஆரம்பம்?
veethla ezhzharoom eebdi eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raeezhway sdadion yeppo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
bus staand enka irrookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
projeecth rready paanraa,புராஜெக்ட் ரெடி பண்றா.
raeelway sdhadhion eepo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
poos sthaand yenkaa irugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
yamma saaaapaadu reeatyaa,அம்மா சாப்பாடு ரெடியா?
waazhgaaiyil weethri beeruvom,வாழ்க்கையில் வெற்றி பெறுவோம்.
bang oopenaa,வங்கி திறந்திருக்கா?
ama atu taan,ஆமா அது தான்.
captioon nalla eerugu,கேப்ஷன் நல்லா இருக்கு.
vethla ellarrum yeptee eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
railway sdhadhion eppo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
roompa kaavaalaaiyaa irruku,ரொம்ப கவலையா இருக்கு.
veeeetzha ellarrum yeepti eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
rompaa sandhosam,ரொம்ப சந்தோஷம்.
soomment banoonga makkalee,கமெண்ட் பண்ணுங்க மக்களே.
rraailwaay stateeon eppo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
govam padadhee,கோபம் படாதே.
naan nazhzha irrukeen,நான் நல்லா இருக்கேன்
vidhdhuku yeboo warra,வீட்டுக்கு எப்போ வர?
yaama aatu taan,ஆமா அது தான்.
raaizhwaay sdhaadhion yepo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
witla yellarrum yepdee irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
bus staand yeenka iruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
pali kooootam ponom,பள்ளி கூடம் போனோம்.
apa eeppo varranka,அப்பா எப்போ வர்றாங்க?
raizhway sdadeeon yepo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
inniku vezhaee irookoo,இன்னைக்கு வேலை இருக்கு.
captioon naazhzhaa irrookoo,கேப்ஷன் நல்லா இருக்கு.
railway sdhadhioon yeepo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
gadhai sozhzhoo,கதை சொல்லு.
poos sdhand yeenga eerugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
pus sdhaand yenka irookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
raailwaay sdhadhioon epoo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raailwaay sdhadhion ebbo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
yoffeece poidhoo warren,அலுவலகம் போயிட்டு வர்றேன்.
soozhren nalla kethukoo,சொல்றேன் நல்லா கேட்டுக்கோ.
naaaan naallaa eerruken,நான் நல்லா இருக்கேன்
office poidu vaaren,அலுவலகம் போயிட்டு வர்றேன்.
yanpe vazhee,அன்பே வழி.
yennaa yaaaasu,என்ன ஆச்சு?
veethla yellarrum epti irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
czhaass eeppo yarampam,வகுப்பு எப்போ ஆரம்பம்?
veethlaa yellaarrum yepdee irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
sandhhoosham beerumai,சந்தோஷம் பெருமை.
yaammaa sapatu rreadya,அம்மா சாப்பாடு ரெடியா?
soollege eeppo muteeyum,கல்லூரி எப்போ முடியும்?
eenneeku naazhzhaa nal,இன்னைக்கு நல்ல நாள்.
uyeerr nazhzha waalum,உயிர் நல்லா வாழும்.
neethhu yengaa poona,நேத்து எங்க போன?
witla yellaroom epdi eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
ooyir nalla vaalum,உயிர் நல்லா வாழும்.
thaangaachi yenga pona,தங்கச்சி எங்க போன?
nedhoo enga boona,நேத்து எங்க போன?
veeeetzha ellarrum eebdi irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veethlaa yellarrum epti iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raeezhway sdadion yeppo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
unaaku pureeyuta,உனக்கு புரியுதா?
raizhway staation yeepo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
solleegee yepoo mudeeyum,கல்லூரி எப்போ முடியும்?
thaangaachi yengaa pona,தங்கச்சி எங்க போன?
widu veelai muteenjatu,வீட்டு வேலை முடிஞ்சது.
nampikai dhaan yeellam,நம்பிக்கை தான் எல்லாம்.
rompa kavalaeeya irugu,ரொம்ப கவலையா இருக்கு.
poos sdaand yengaa iroogoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
anavee koopidoo,அண்ணாவை கூப்பிடு.
eepti eeruka,எப்படி இருக்க?
inniku naalaa naaaal,இன்னைக்கு நல்ல நாள்.
witla ezhzharoom ebdee eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raailwaay sdadeeon eepo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
vazhkaeeyeezh veethri beruvom,வாழ்க்கையில் வெற்றி பெறுவோம்.
uraveenarkal vaandhaaaankaa,உறவினர்கள் வந்தாங்க.
viddookoo yepo waaraa,வீட்டுக்கு எப்போ வர?
raeezhway stateeon epoo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
solrreen nalla keduko,சொல்றேன் நல்லா கேட்டுக்கோ.
treending viteoo atoo,டிரெண்டிங் வீடியோ அது.
boos sdaand engaa eerugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
witla yellaarrum epdi eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
poos staant enkaa iruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
pus sthand yengaa irugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
veeeetzha ezhzharoom epti eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
yapa yeeppo varranka,அப்பா எப்போ வர்றாங்க?
railway staation eppo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
pus staand yenka irugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
rroomba nantree,ரொம்ப நன்றி
raailwaay stateeon yeppo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
eenneeku naallaa naaaazh,இன்னைக்கு நல்ல நாள்.
veethla ellarrum yeptee eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
yaammaa saabadu rreadyaa,அம்மா சாப்பாடு ரெடியா?
tambee badeekeereeya,தம்பி படிக்கிறியா?
eenneegu sema vipe,இன்னைக்கு செம வைப்.
saree aabbraam baaaarkaalaam,சரி அப்புறம் பார்க்கலாம்.
weedu wezhaee mootinjatoo,வீட்டு வேலை முடிஞ்சது.
sema bhoto brroo,செம படம் ப்ரோ.
enagu pureeyala,எனக்கு புரியல.
nambigai tan eelam,நம்பிக்கை தான் எல்லாம்.
rraailwaay staation eppo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
pus sdhaand enka eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
raaizhwaay sdadion eppo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
prroject reaady paanraa,புராஜெக்ட் ரெடி பண்றா.
aammaa saapatu reaatyaaaa,அம்மா சாப்பாடு ரெடியா?
frriendu call paanraan,பிரெண்டு கால் பண்றான்.
veetzha yellaarrum yepdi irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
drendeeng videoo aatu,டிரெண்டிங் வீடியோ அது.
veethla ezhzharoom yepdee irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
rraailwaay sdadion yeepo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
class eebbo arambam,வகுப்பு எப்போ ஆரம்பம்?
colleke eebbo mootiyoom,கல்லூரி எப்போ முடியும்?
wazhkaeeyeezh weethri perroovom,வாழ்க்கையில் வெற்றி பெறுவோம்.
frrieendu sall baanraan,பிரெண்டு கால் பண்றான்.
raizhway staation yeepo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
walkaeeyeel vethri peeruvom,வாழ்க்கையில் வெற்றி பெறுவோம்.
cabteeon nazhzha iroogoo,கேப்ஷன் நல்லா இருக்கு.
vipee nazhzha eerruku,வைப் நல்லா இருக்கு.
eella izhzhaai,இல்ல இல்லை.
vittugu epoo wara,வீட்டுக்கு எப்போ வர?
yooffice poidoo vaaren,அலுவலகம் போயிட்டு வர்றேன்.
soozhren nalla kedooko,சொல்றேன் நல்லா கேட்டுக்கோ.
raaizhwaay sdhaadhion yepo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
neethhu yenga boona,நேத்து எங்க போன?
waalkaaiyil weethri beroovom,வாழ்க்கையில் வெற்றி பெறுவோம்.
frientu caazhzh panran,பிரெண்டு கால் பண்றான்.
raailwaay sdhaadhion epoo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raeezhway sdhaadhion eepo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
sozhren nala keedhuko,சொல்றேன் நல்லா கேட்டுக்கோ.
frientu sall baanraan,பிரெண்டு கால் பண்றான்.
rrombaa kaavaalaaiyaa iruku,ரொம்ப கவலையா இருக்கு.
weettugu ebo waarraa,வீட்டுக்கு எப்போ வர?
dhhambee badeekeereeya,தம்பி படிக்கிறியா?
drendeeng witeoo aatu,டிரெண்டிங் வீடியோ அது.
rraailwaay sdadion yeepo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
rraeelway sdadeeon yeepo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
vidhdhuku ebo varra,வீட்டுக்கு எப்போ வர?
rraeelway stateeon epoo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
kaadaaiyizhaa vangu,கடையில வாங்கு.
naanbaa epdi eerruka,நண்பா எப்படி இருக்க?
raizhway sdadeeon yeppo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
rompa gaavaalaaiyaa irookoo,ரொம்ப கவலையா இருக்கு.
vethla yellarroom yeepti irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
poos sdhaand yenkaa eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
raeezhway sdhadhioon epoo waarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
rraailwaay sdadioon yepo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
nethhoo yenka boona,நேத்து எங்க போன?
poos staand yengaa eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
offise poidhoo varrrren,அலுவலகம் போயிட்டு வர்றேன்.
vedhla yellarroom epti irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
claass eppoo yaaaaraambaam,வகுப்பு எப்போ ஆரம்பம்?
bus sthaand enka irrookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
weetoo velaee muteenjatu,வீட்டு வேலை முடிஞ்சது.
poos stant yengaa irrookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
captioon naalaa iruku,கேப்ஷன் நல்லா இருக்கு.
veethla yelaarum yepdi irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
pus sthand enka eerugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
claass eepo arampam,வகுப்பு எப்போ ஆரம்பம்?
dhaangaachi yenga pona,தங்கச்சி எங்க போன?
ena paanrraa,என்ன பண்ற?
vethla ellarrum epti irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
vidhdhuku ebo vaaraa,வீட்டுக்கு எப்போ வர?
saree yabbram parrkalam,சரி அப்புறம் பார்க்கலாம்.
slaass yeebbo aarampam,வகுப்பு எப்போ ஆரம்பம்?
inikoo velaai iruku,இன்னைக்கு வேலை இருக்கு.
frrieendu caazhzh paanraan,பிரெண்டு கால் பண்றான்.
nanba yebdee irooka,நண்பா எப்படி இருக்க?
vazhkaeeyeezh vethri perroovom,வாழ்க்கையில் வெற்றி பெறுவோம்.
rompaa kaavaazhaaiyaa iruku,ரொம்ப கவலையா இருக்கு.
veetzha yelaarum eebdi eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
sarree aapprraam parkalam,சரி அப்புறம் பார்க்கலாம்.
boos staand yeenga eerugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
wazhkaeeyeezh vethri beruvoom,வாழ்க்கையில் வெற்றி பெறுவோம்.
netu yenkaa boona,நேத்து எங்க போன?
eenneegu semaa veebe,இன்னைக்கு செம வைப்.
solrra masa,சொல்றா மச்சா.
eeneeku semaa vipee,இன்னைக்கு செம வைப்.
poos staant yenka eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
eeneeku velaee irookoo,இன்னைக்கு வேலை இருக்கு.
paali goooodam boonoom,பள்ளி கூடம் போனோம்.
eena paanraa,என்ன பண்ற?
enna aasoo,என்ன ஆச்சு?
inikoo semaa wipee,இன்னைக்கு செம வைப்.
cozhzhege eppoo mutiyum,கல்லூரி எப்போ முடியும்?
karunaee kaadoongal,கருணை காட்டுங்கள்.
projeest reeady paanrraa,புராஜெக்ட் ரெடி பண்றா.
pus staant yeenga eerugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
eenneeku weezhai irugu,இன்னைக்கு வேலை இருக்கு.
appa yebboo varaanga,அப்பா எப்போ வர்றாங்க?
raeezhway sdhadhion eppo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
rraeelway sdadion eeppo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
apa yeppo varanga,அப்பா எப்போ வர்றாங்க?
bus sdhaand yenkaa irugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
yooruggu,ஊருக்கு
oorruku poreeya,ஊருக்கு போறியா?
raaizhwaay sdadioon eeppo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
commeendh panunka makkazhee,கமெண்ட் பண்ணுங்க மக்களே.
vedhla yeelarum eebdi eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
boos staant enkaa irookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
wittoogoo epo vaarraa,வீட்டுக்கு எப்போ வர?
railway sdadeeon eepo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
appa yepoo warraanga,அப்பா எப்போ வர்றாங்க?
waalkaaiyil wetrree peeruvom,வாழ்க்கையில் வெற்றி பெறுவோம்.
yassignment yeezhudhidiya,அசைன்மென்ட் எழுதிட்டியா?
uyeerr nazhzha valoom,உயிர் நல்லா வாழும்.
pus staand yengaa iruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
raaizhwaay sdadioon epoo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
yaaaamaa adhu dhaaaan,ஆமா அது தான்.
nambikai tan eelam,நம்பிக்கை தான் எல்லாம்.
poos stant yengaa iruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
uyaram thhodu,உயரம் தொடு.
veethlaa yellaroom yeptee irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veeeetzha yelaarum eebdi eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
saree apram parkazham,சரி அப்புறம் பார்க்கலாம்.
yenagoo pureeyala,எனக்கு புரியல.
sarri aapprraam baaaarkaalaam,சரி அப்புறம் பார்க்கலாம்.
rraailwaay sdadion yepo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
vethla yellarrum yeptee eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
witla yellaroom yeptee eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veetzha yellarrum epti irukaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
pus sthaand engaa iruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
coleegee eebbo mootiyoom,கல்லூரி எப்போ முடியும்?
aammaa saaaapaatu rreeadyaa,அம்மா சாப்பாடு ரெடியா?
raaizhwaay sdhaadhion eeppo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
vethla yellarroom ebdee eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
rraailwaay sdadioon eepo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
pus sdhaand yenkaa irookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
veethlaa yeelarum eebdi eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veeeetzha ezhzharoom yepdee irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
capdion naallaa irookoo,கேப்ஷன் நல்லா இருக்கு.
frriendoo saall banran,பிரெண்டு கால் பண்றான்.
exaam sema toough,தேர்வு செம கடினம்.
railway staation yepo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
saarri aabbraam paarrkalam,சரி அப்புறம் பார்க்கலாம்.
waazhkaaiyizh weethri beruvoom,வாழ்க்கையில் வெற்றி பெறுவோம்.
ooyirr nala valum,உயிர் நல்லா வாழும்.
witla ezhzharoom yepdee irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
dhhangachee yenka ponaa,தங்கச்சி எங்க போன?
inikoo sema vibee,இன்னைக்கு செம வைப்.
wibe naallaa irookoo,வைப் நல்லா இருக்கு.
caapthion naalaa eeruku,கேப்ஷன் நல்லா இருக்கு.
trendink videoo yatu,டிரெண்டிங் வீடியோ அது.
raailwaay sdadion eeppo vaarum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raeezhway staation yepo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
vethla ezhzharoom yeptee eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
poos stant engaa irookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
soozhra masa,சொல்றா மச்சா.
projeecth reaaty paanraa,புராஜெக்ட் ரெடி பண்றா.
veduku va,வீட்டுக்கு வா.
saree yabbram paarkazham,சரி அப்புறம் பார்க்கலாம்.
nampeekaee dhaan elaam,நம்பிக்கை தான் எல்லாம்.
raailwaay sdadeeon yeepo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
thhambee paadikiriyaa,தம்பி படிக்கிறியா?
ooyirr naalaa vazhum,உயிர் நல்லா வாழும்.
witla yellarroom ebdee iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
paank yopenaaaa,வங்கி திறந்திருக்கா?
veethlaa yelaarum ebdee irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veethlaa yellaarrum yepdee irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
innikoo seema vibe,இன்னைக்கு செம வைப்.
roompa gavalaiya eerruku,ரொம்ப கவலையா இருக்கு.
roompa gavalaiya irugu,ரொம்ப கவலையா இருக்கு.
poos staand yeenga irrookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
vethla yeelarum ebdee irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
veethlaa ezhzharoom yeptee eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
ama yadhoo dhaan,ஆமா அது தான்.
taangaachi yengaa bonaa,தங்கச்சி எங்க போன?
inniku veelai irugu,இன்னைக்கு வேலை இருக்கு.
raaizhwaay stateeon eepo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raailwaay staation yepo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
vittugu epo waaraa,வீட்டுக்கு எப்போ வர?
innigoo vezhaai irrookoo,இன்னைக்கு வேலை இருக்கு.
vedhla yellaarrum epdi eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raaizhwaay sdadion eppo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
inikoo vezhaai irugu,இன்னைக்கு வேலை இருக்கு.
nanpa ebdee eeruga,நண்பா எப்படி இருக்க?
raizhway sdhadhioon yeppo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
wittugu yeebo waaraa,வீட்டுக்கு எப்போ வர?
raaizhwaay staation ebbo varrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
aappaa yeeppo waarrrraaaangaa,அப்பா எப்போ வர்றாங்க?
widduku epo waaraa,வீட்டுக்கு எப்போ வர?
eepdi irookinga,எப்படி இருக்கீங்க?
witla yellarrum yeptee irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
weetlaa yelaarum yepdi eerukaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raailwaay stateeon eeppo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veethla ezhzharoom epti iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
yaapaa yeeppo varaanga,அப்பா எப்போ வர்றாங்க?
rrombaa kavalaeeya irruku,ரொம்ப கவலையா இருக்கு.
friendoo caall baanraan,பிரெண்டு கால் பண்றான்.
czhaass yeebbo arambam,வகுப்பு எப்போ ஆரம்பம்?
rraeelway stateeon epoo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veedu velaee mudinjaadhu,வீட்டு வேலை முடிஞ்சது.
vethla yellarrum epdi irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
ama aadhu dhaan,ஆமா அது தான்.
wipe naallaa iroogoo,வைப் நல்லா இருக்கு.
raeelway sdadion eepo vaarrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veethla yellaroom eebdi eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
commend paanungaa makkalee,கமெண்ட் பண்ணுங்க மக்களே.
rompa kaavaazhaaiyaa irruku,ரொம்ப கவலையா இருக்கு.
sarri apprram paarrkalam,சரி அப்புறம் பார்க்கலாம்.
innigoo seema vipe,இன்னைக்கு செம வைப்.
claass yeppo arampam,வகுப்பு எப்போ ஆரம்பம்?
raizhway sdhadhion eeppo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
vethla yellaarrum eebdi irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raeelway stateeon epoo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
railway sdhadhion eeppo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
veethla ellarrum yeptee iruganga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
commendh baanungaa maaggaale,கமெண்ட் பண்ணுங்க மக்களே.
veeeetzha yellarrum yeepti irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raeelway sdhadhion eppo warum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
rraeelway sdhadhion yepo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
witla yeelarum epti irugaaaangaa,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
raeezhway sdadion eepo warroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
threending veeteo atu,டிரெண்டிங் வீடியோ அது.
veetzha yellaroom epdi irukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
vedhla yelaarum epti irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
uyeer nazhzha vazhum,உயிர் நல்லா வாழும்.
vethla yellarroom eebdi irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
prrojeect reeaty banra,புராஜெக்ட் ரெடி பண்றா.
boos sthaand yengaa eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
vaazhkaaiyizh wethri peroovom,வாழ்க்கையில் வெற்றி பெறுவோம்.
rraailwaay stateeon eppo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
solreen naazhzhaa keedhuko,சொல்றேன் நல்லா கேட்டுக்கோ.
ilaa illaai,இல்ல இல்லை.
pus sthand yenkaa irugu,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
weetlaa yellaarrum epti eerrukaanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
poos sthaand yenkaa irrookoo,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
veethla yellaroom ebdee irrukanga,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
boos sthaand enka eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
prroject reaady paanrraa,புராஜெக்ட் ரெடி பண்றா.
weetlaa yelaarum yeptee irookaanka,வீட்ல எல்லாரும் எப்படி இருக்காங்க?
widhu wezhai mudeenjadhu,வீட்டு வேலை முடிஞ்சது.
pus sdhaand engaa eerruku,பஸ் ஸ்டாண்ட் எங்க இருக்கு?
garunai kaaaatunkaal,கருணை காட்டுங்கள்.
thalaivarree kethoo,தலைவரே கெத்து.
semaa phoodhoo brro,செம படம் ப்ரோ.
projeest ready panra,புராஜெக்ட் ரெடி பண்றா.
raizhway sdhadhioon yeepo warrum,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
raizhway sdhadhion epoo waroom,ரயில்வே ஸ்டேஷன் எப்போ வரும்?
